縣市代碼,縣市,年齡組,性別,教育程度,人數,資料時間
09007,連江縣,15-24歲,女,不識字,0,113Y12M
09007,連江縣,15-24歲,女,博士,0,113Y12M
09007,連江縣,15-24歲,女,國中初職,0,113Y12M
09007,連江縣,15-24歲,女,大學院校,9,113Y12M
09007,連江縣,15-24歲,女,專科,0,113Y12M
09007,連江縣,15-24歲,女,小學,0,113Y12M
09007,連江縣,15-24歲,女,未詳,0,113Y12M
09007,連江縣,15-24歲,女,碩士,0,113Y12M
09007,連江縣,15-24歲,女,自修,0,113Y12M
09007,連江縣,15-24歲,女,高中職,4,113Y12M
09007,連江縣,15-24歲,男,不識字,0,113Y12M
09007,連江縣,15-24歲,男,博士,0,113Y12M
09007,連江縣,15-24歲,男,國中初職,0,113Y12M
09007,連江縣,15-24歲,男,大學院校,12,113Y12M
09007,連江縣,15-24歲,男,專科,2,113Y12M
09007,連江縣,15-24歲,男,小學,0,113Y12M
09007,連江縣,15-24歲,男,未詳,0,113Y12M
09007,連江縣,15-24歲,男,碩士,0,113Y12M
09007,連江縣,15-24歲,男,自修,0,113Y12M
09007,連江縣,15-24歲,男,高中職,8,113Y12M
09007,連江縣,25-34歲,女,不識字,0,113Y12M
09007,連江縣,25-34歲,女,博士,0,113Y12M
09007,連江縣,25-34歲,女,國中初職,1,113Y12M
09007,連江縣,25-34歲,女,大學院校,25,113Y12M
09007,連江縣,25-34歲,女,專科,2,113Y12M
09007,連江縣,25-34歲,女,小學,0,113Y12M
09007,連江縣,25-34歲,女,未詳,0,113Y12M
09007,連江縣,25-34歲,女,碩士,2,113Y12M
09007,連江縣,25-34歲,女,自修,0,113Y12M
09007,連江縣,25-34歲,女,高中職,11,113Y12M
09007,連江縣,25-34歲,男,不識字,0,113Y12M
09007,連江縣,25-34歲,男,博士,0,113Y12M
09007,連江縣,25-34歲,男,國中初職,4,113Y12M
09007,連江縣,25-34歲,男,大學院校,20,113Y12M
09007,連江縣,25-34歲,男,專科,5,113Y12M
09007,連江縣,25-34歲,男,小學,0,113Y12M
09007,連江縣,25-34歲,男,未詳,0,113Y12M
09007,連江縣,25-34歲,男,碩士,2,113Y12M
09007,連江縣,25-34歲,男,自修,0,113Y12M
09007,連江縣,25-34歲,男,高中職,27,113Y12M
09007,連江縣,35-44歲,女,不識字,0,113Y12M
09007,連江縣,35-44歲,女,博士,0,113Y12M
09007,連江縣,35-44歲,女,國中初職,0,113Y12M
