縣市代碼,縣市,15歲以上人口,大學以上,專科以上,國中以下,大學以上占比,專科以上占比,國中以下占比
63000,臺北市,14322,6148,7721,2035,42.93,53.91,14.21
10020,嘉義市,998,402,529,147,40.28,53.01,14.73
09020,金門縣,1182,489,623,174,41.37,52.71,14.72
10016,澎湖縣,605,226,292,110,37.36,48.26,18.18
67000,臺南市,7563,2892,3568,1460,38.24,47.18,19.3
09007,連江縣,256,94,117,32,36.72,45.7,12.5
64000,高雄市,30740,9651,12563,6647,31.4,40.87,21.62
10018,新竹市,3659,1143,1454,764,31.24,39.74,20.88
65000,新北市,48286,14398,18871,10514,29.82,39.08,21.77
66000,臺中市,30469,9126,11737,6426,29.95,38.52,21.09
10009,雲林縣,2410,682,904,525,28.3,37.51,21.78
10007,彰化縣,5077,1438,1828,1319,28.32,36.01,25.98
68000,桃園市,66510,17629,22882,16501,26.51,34.4,24.81
10002,宜蘭縣,14635,3252,4969,4000,22.22,33.95,27.33
10013,屏東縣,52122,12369,17321,15872,23.73,33.23,30.45
10010,嘉義縣,5131,1296,1696,1442,25.26,33.05,28.1
10015,花蓮縣,79475,18357,25714,23367,23.1,32.35,29.4
10004,新竹縣,17838,4290,5747,5010,24.05,32.22,28.09
10008,南投縣,23936,5482,7707,6211,22.9,32.2,25.95
10017,基隆市,8067,1870,2591,2369,23.18,32.12,29.37
10005,苗栗縣,9557,2223,3022,2623,23.26,31.62,27.45
10014,臺東縣,67498,13893,19767,24156,20.58,29.29,35.79
