資料時間,縣市代碼,縣市,年齡組,人數,專科以上人數,專科以上占比,人數過少
113Y12M,9007,連江縣,15-24歲,35,23,65.71,是
113Y12M,9007,連江縣,25-34歲,99,56,56.57,是
113Y12M,9007,連江縣,35-44歲,51,21,41.18,是
113Y12M,9007,連江縣,45-54歲,39,10,25.64,是
113Y12M,9007,連江縣,55-64歲,28,6,21.43,是
113Y12M,9007,連江縣,65歲以上,4,1,25.0,是
113Y12M,9020,金門縣,15-24歲,244,149,61.07,是
113Y12M,9020,金門縣,25-34歲,367,264,71.93,是
113Y12M,9020,金門縣,35-44歲,198,111,56.06,是
113Y12M,9020,金門縣,45-54歲,170,59,34.71,是
113Y12M,9020,金門縣,55-64歲,140,31,22.14,是
113Y12M,9020,金門縣,65歲以上,63,9,14.29,是
113Y12M,10002,宜蘭縣,15-24歲,2913,1328,45.59,
113Y12M,10002,宜蘭縣,25-34歲,3056,1658,54.25,
113Y12M,10002,宜蘭縣,35-44歲,2615,1007,38.51,
113Y12M,10002,宜蘭縣,45-54歲,2309,541,23.43,
113Y12M,10002,宜蘭縣,55-64歲,2132,297,13.93,
113Y12M,10002,宜蘭縣,65歲以上,1610,138,8.57,
113Y12M,10004,新竹縣,15-24歲,3634,1503,41.36,
113Y12M,10004,新竹縣,25-34歲,3825,1949,50.95,
113Y12M,10004,新竹縣,35-44歲,3227,1138,35.26,
113Y12M,10004,新竹縣,45-54歲,3064,688,22.45,
113Y12M,10004,新竹縣,55-64歲,2294,329,14.34,
113Y12M,10004,新竹縣,65歲以上,1794,140,7.8,
113Y12M,10005,苗栗縣,15-24歲,1888,754,39.94,
113Y12M,10005,苗栗縣,25-34歲,1956,1010,51.64,
113Y12M,10005,苗栗縣,35-44歲,1672,626,37.44,
113Y12M,10005,苗栗縣,45-54歲,1548,331,21.38,
113Y12M,10005,苗栗縣,55-64歲,1400,200,14.29,
113Y12M,10005,苗栗縣,65歲以上,1093,101,9.24,
113Y12M,10007,彰化縣,15-24歲,1127,517,45.87,
113Y12M,10007,彰化縣,25-34歲,1186,666,56.16,
113Y12M,10007,彰化縣,35-44歲,1061,414,39.02,
113Y12M,10007,彰化縣,45-54歲,715,163,22.8,
