資料時間,縣市代碼,縣市,15歲以上人數,原始專科以上占比,年齡標準化占比,標準化差值,65歲以上占比,原始排名,標準化排名,排名變動,不穩定人口占比,標準化不穩定
113Y12M,9007,連江縣,256,45.7,41.14,-4.57,1.56,6,5,1,100.0,是
113Y12M,9020,金門縣,1182,52.71,46.39,-6.32,5.33,3,3,0,100.0,是
113Y12M,10002,宜蘭縣,14635,33.95,33.09,-0.86,11.0,14,14,0,0.0,
113Y12M,10004,新竹縣,17838,32.22,30.89,-1.33,10.06,18,22,-4,0.0,
113Y12M,10005,苗栗縣,9557,31.62,31.17,-0.45,11.44,21,21,0,0.0,
113Y12M,10007,彰化縣,5077,36.01,32.16,-3.85,7.35,12,17,-5,7.3,
113Y12M,10008,南投縣,23936,32.2,31.91,-0.29,12.34,19,19,0,0.0,
113Y12M,10009,雲林縣,2410,37.51,33.03,-4.48,5.35,11,15,-4,53.1,是
113Y12M,10010,嘉義縣,5131,33.05,33.55,0.49,14.23,16,13,3,0.0,
113Y12M,10013,屏東縣,52122,33.23,35.4,2.17,15.78,15,11,4,0.0,
113Y12M,10014,臺東縣,67498,29.29,33.02,3.74,18.91,22,16,6,0.0,
113Y12M,10015,花蓮縣,79475,32.35,34.76,2.41,17.48,17,12,5,0.0,
113Y12M,10016,澎湖縣,605,48.26,40.68,-7.58,5.79,4,6,-2,100.0,是
113Y12M,10017,基隆市,8067,32.12,31.65,-0.47,11.69,20,20,0,0.0,
113Y12M,10018,新竹市,3659,39.74,36.48,-3.26,7.38,8,9,-1,18.7,
113Y12M,10020,嘉義市,998,53.01,48.52,-4.48,7.01,2,2,0,100.0,是
113Y12M,63000,臺北市,14322,53.91,52.26,-1.65,10.45,1,1,0,0.0,
113Y12M,64000,高雄市,30740,40.87,39.32,-1.55,10.46,7,7,0,0.0,
113Y12M,65000,新北市,48286,39.08,36.95,-2.14,8.95,9,8,1,0.0,
113Y12M,66000,臺中市,30469,38.52,35.74,-2.78,8.21,10,10,0,0.0,
113Y12M,67000,臺南市,7563,47.18,43.59,-3.59,7.96,5,4,1,0.0,
113Y12M,68000,桃園市,66510,34.4,31.97,-2.43,8.5,13,18,-5,0.0,
