學年度,學校類別,學校代碼,學校名稱,等級別,原住民在學數,全體在學數,原住民佔比
104,大專校院,0001,國立政治大學,二專,0,,
104,大專校院,0001,國立政治大學,五專,0,,
104,大專校院,0001,國立政治大學,博士班,5,963.0,0.00519
104,大專校院,0001,國立政治大學,學士班,155,9736.0,0.01592
104,大專校院,0001,國立政治大學,碩士班,49,5548.0,0.00883
104,大專校院,0002,國立清華大學,二專,0,,
104,大專校院,0002,國立清華大學,五專,0,,
104,大專校院,0002,國立清華大學,博士班,6,1681.0,0.00357
104,大專校院,0002,國立清華大學,學士班,36,6315.0,0.0057
104,大專校院,0002,國立清華大學,碩士班,12,4339.0,0.00277
104,大專校院,0003,國立臺灣大學,二專,0,,
104,大專校院,0003,國立臺灣大學,五專,0,,
104,大專校院,0003,國立臺灣大學,博士班,7,3965.0,0.00177
104,大專校院,0003,國立臺灣大學,學士班,293,16533.0,0.01772
104,大專校院,0003,國立臺灣大學,碩士班,19,11260.0,0.00169
104,大專校院,0004,國立臺灣師範大學,二專,0,,
104,大專校院,0004,國立臺灣師範大學,五專,0,,
104,大專校院,0004,國立臺灣師範大學,博士班,12,1388.0,0.00865
104,大專校院,0004,國立臺灣師範大學,學士班,206,7919.0,0.02601
104,大專校院,0004,國立臺灣師範大學,碩士班,27,5774.0,0.00468
104,大專校院,0005,國立成功大學,二專,0,,
104,大專校院,0005,國立成功大學,五專,0,,
104,大專校院,0005,國立成功大學,博士班,5,2171.0,0.0023
104,大專校院,0005,國立成功大學,學士班,101,11402.0,0.00886
104,大專校院,0005,國立成功大學,碩士班,12,7663.0,0.00157
104,大專校院,0006,國立中興大學,二專,0,,
104,大專校院,0006,國立中興大學,五專,0,,
104,大專校院,0006,國立中興大學,博士班,2,1116.0,0.00179
104,大專校院,0006,國立中興大學,學士班,79,9138.0,0.00865
104,大專校院,0006,國立中興大學,碩士班,14,4887.0,0.00286
104,大專校院,0007,國立交通大學,二專,0,,
104,大專校院,0007,國立交通大學,五專,0,,
104,大專校院,0007,國立交通大學,博士班,4,1836.0,0.00218
104,大專校院,0007,國立交通大學,學士班,25,5437.0,0.0046
104,大專校院,0007,國立交通大學,碩士班,8,6810.0,0.00117
104,大專校院,0008,國立中央大學,二專,0,,
104,大專校院,0008,國立中央大學,五專,0,,
104,大專校院,0008,國立中央大學,博士班,0,1096.0,0.0
104,大專校院,0008,國立中央大學,學士班,26,6117.0,0.00425
104,大專校院,0008,國立中央大學,碩士班,0,4749.0,0.0
104,大專校院,0009,國立中山大學,二專,0,,
104,大專校院,0009,國立中山大學,五專,0,,
104,大專校院,0009,國立中山大學,博士班,0,852.0,0.0
104,大專校院,0009,國立中山大學,學士班,22,4681.0,0.0047
104,大專校院,0009,國立中山大學,碩士班,0,3779.0,0.0
104,大專校院,0012,國立臺灣海洋大學,二專,0,,
104,大專校院,0012,國立臺灣海洋大學,五專,0,,
104,大專校院,0012,國立臺灣海洋大學,博士班,0,321.0,0.0
104,大專校院,0012,國立臺灣海洋大學,學士班,46,6288.0,0.00732
104,大專校院,0012,國立臺灣海洋大學,碩士班,9,2000.0,0.0045
104,大專校院,0013,國立中正大學,二專,0,,
104,大專校院,0013,國立中正大學,五專,0,,
104,大專校院,0013,國立中正大學,博士班,1,591.0,0.00169
104,大專校院,0013,國立中正大學,學士班,65,6727.0,0.00966
104,大專校院,0013,國立中正大學,碩士班,30,4361.0,0.00688
104,大專校院,0014,國立高雄師範大學,二專,0,,
104,大專校院,0014,國立高雄師範大學,五專,0,,
104,大專校院,0014,國立高雄師範大學,博士班,7,478.0,0.01464
104,大專校院,0014,國立高雄師範大學,學士班,49,3471.0,0.01412
104,大專校院,0014,國立高雄師範大學,碩士班,39,2682.0,0.01454
104,大專校院,0015,國立彰化師範大學,二專,0,,
104,大專校院,0015,國立彰化師範大學,五專,0,,
104,大專校院,0015,國立彰化師範大學,博士班,0,464.0,0.0
