學年度,代碼,名稱,等級別,原民在學數,原民畢業數,全體在學數,全體畢業數,一般生在學數,一般生畢業數,原民佔比,可比,原民結構占比,一般生結構占比,結構差距_百分點,相對倍數,分母完整度
106,011,教育學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,021,藝術學門,二專,22,24,73.0,54.0,51.0,30.0,0.30137,True,0.01986,0.0103,0.96,1.928,1.0
106,022,人文學門,二專,14,2,,,,,,True,0.01264,,,,1.0
106,023,語文學門,二專,14,1,41.0,0.0,27.0,-1.0,0.34146,True,0.01264,0.00545,0.72,2.319,1.0
106,031,社會及行為科學學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,032,新聞學及圖書資訊學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,041,商業及管理學門,二專,386,136,921.0,608.0,535.0,472.0,0.41911,True,0.34838,0.10808,24.03,3.223,1.0
106,042,法律學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,051,生命科學學門,二專,2,1,15.0,0.0,13.0,-1.0,0.13333,True,0.00181,0.00263,-0.08,0.688,1.0
106,052,環境學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,053,物理、化學及地球科學學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,054,數學及統計學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,061,資訊通訊科技學門,二專,63,11,456.0,286.0,393.0,275.0,0.13816,True,0.05686,0.07939,-2.25,0.716,1.0
106,071,工程及工程業學門,二專,83,39,579.0,362.0,496.0,323.0,0.14335,True,0.07491,0.1002,-2.53,0.748,1.0
106,072,製造及加工學門,二專,6,4,27.0,13.0,21.0,9.0,0.22222,True,0.00542,0.00424,0.12,1.278,1.0
106,073,建築及營建工程學門,二專,18,3,173.0,72.0,155.0,69.0,0.10405,True,0.01625,0.03131,-1.51,0.519,1.0
106,081,農業學門,二專,19,6,137.0,65.0,118.0,59.0,0.13869,True,0.01715,0.02384,-0.67,0.719,1.0
106,082,林業學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,083,漁業學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,084,獸醫學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,091,醫藥衛生學門,二專,38,10,1321.0,495.0,1283.0,485.0,0.02877,True,0.0343,0.25919,-22.49,0.132,1.0
106,092,社會福利學門,二專,190,52,881.0,623.0,691.0,571.0,0.21566,True,0.17148,0.1396,3.19,1.228,1.0
106,101,餐旅及民生服務學門,二專,249,94,1332.0,637.0,1083.0,543.0,0.18694,True,0.22473,0.21879,0.59,1.027,1.0
106,102,衛生及職業衛生服務學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,103,安全服務學門,二專,0,0,,,,,,True,0.0,,,,1.0
106,104,運輸服務學門,二專,4,2,88.0,36.0,84.0,34.0,0.04545,True,0.00361,0.01697,-1.34,0.213,1.0
106,999,其他學門,二專,0,0,17.0,0.0,17.0,0.0,0.0,False,,,,,1.0
106,011,教育學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,021,藝術學門,五專,105,16,4397.0,465.0,4292.0,449.0,0.02388,True,0.02461,0.05331,-2.87,0.462,1.0
106,022,人文學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,023,語文學門,五專,163,24,5867.0,1032.0,5704.0,1008.0,0.02778,True,0.03821,0.07085,-3.26,0.539,1.0
106,031,社會及行為科學學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,032,新聞學及圖書資訊學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,041,商業及管理學門,五專,102,8,5886.0,1075.0,5784.0,1067.0,0.01733,True,0.02391,0.07184,-4.79,0.333,1.0
106,042,法律學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,051,生命科學學門,五專,8,1,723.0,59.0,715.0,58.0,0.01107,True,0.00188,0.00888,-0.7,0.212,1.0
106,052,環境學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,053,物理、化學及地球科學學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,054,數學及統計學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,061,資訊通訊科技學門,五專,33,7,2479.0,488.0,2446.0,481.0,0.01331,True,0.00774,0.03038,-2.26,0.255,1.0
106,071,工程及工程業學門,五專,87,3,3552.0,573.0,3465.0,570.0,0.02449,True,0.02039,0.04304,-2.27,0.474,1.0
106,072,製造及加工學門,五專,38,2,154.0,22.0,116.0,20.0,0.24675,True,0.00891,0.00144,0.75,6.187,1.0
106,073,建築及營建工程學門,五專,10,2,420.0,67.0,410.0,65.0,0.02381,True,0.00234,0.00509,-0.27,0.46,1.0
106,081,農業學門,五專,14,0,86.0,11.0,72.0,11.0,0.16279,True,0.00328,0.00089,0.24,3.685,1.0
106,082,林業學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,083,漁業學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,084,獸醫學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,091,醫藥衛生學門,五專,2689,438,42868.0,7538.0,40179.0,7100.0,0.06273,True,0.63033,0.49905,13.13,1.263,1.0
106,092,社會福利學門,五專,402,46,4156.0,544.0,3754.0,498.0,0.09673,True,0.09423,0.04663,4.76,2.021,1.0
106,101,餐旅及民生服務學門,五專,602,65,13737.0,2221.0,13135.0,2156.0,0.04382,True,0.14112,0.16315,-2.2,0.865,1.0
106,102,衛生及職業衛生服務學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,103,安全服務學門,五專,0,0,,,,,,True,0.0,,,,1.0
106,104,運輸服務學門,五專,13,0,452.0,57.0,439.0,57.0,0.02876,True,0.00305,0.00545,-0.24,0.56,1.0
106,999,其他學門,五專,0,0,,,,,,False,,,,,1.0
106,011,教育學門,博士班,45,1,2713.0,278.0,2668.0,277.0,0.01659,True,0.32609,0.09478,23.13,3.44,1.0
106,021,藝術學門,博士班,5,0,998.0,91.0,993.0,91.0,0.00501,True,0.03623,0.03528,0.09,1.027,1.0
106,022,人文學門,博士班,14,0,799.0,94.0,785.0,94.0,0.01752,True,0.10145,0.02789,7.36,3.638,1.0
106,023,語文學門,博士班,18,1,1481.0,199.0,1463.0,198.0,0.01215,True,0.13043,0.05197,7.85,2.51,1.0
106,031,社會及行為科學學門,博士班,7,0,1487.0,132.0,1480.0,132.0,0.00471,True,0.05072,0.05258,-0.19,0.965,1.0
106,032,新聞學及圖書資訊學門,博士班,3,0,126.0,10.0,123.0,10.0,0.02381,True,0.02174,0.00437,1.74,4.975,1.0
106,041,商業及管理學門,博士班,11,0,2992.0,304.0,2981.0,304.0,0.00368,True,0.07971,0.1059,-2.62,0.753,1.0
106,042,法律學門,博士班,1,0,394.0,13.0,393.0,13.0,0.00254,True,0.00725,0.01396,-0.67,0.519,1.0
106,051,生命科學學門,博士班,5,0,1671.0,277.0,1666.0,277.0,0.00299,True,0.03623,0.05918,-2.3,0.612,1.0
106,052,環境學門,博士班,1,0,104.0,13.0,103.0,13.0,0.00962,True,0.00725,0.00366,0.36,1.981,1.0
106,053,物理、化學及地球科學學門,博士班,1,1,1724.0,287.0,1723.0,286.0,0.00058,True,0.00725,0.06121,-5.4,0.118,1.0
106,054,數學及統計學門,博士班,0,0,210.0,26.0,210.0,26.0,0.0,True,0.0,0.00746,-0.75,0.0,1.0
106,061,資訊通訊科技學門,博士班,2,0,1198.0,151.0,1196.0,151.0,0.00167,True,0.01449,0.04249,-2.8,0.341,1.0
106,071,工程及工程業學門,博士班,9,0,7010.0,979.0,7001.0,979.0,0.00128,True,0.06522,0.2487,-18.35,0.262,1.0
106,072,製造及加工學門,博士班,1,0,192.0,27.0,191.0,27.0,0.00521,True,0.00725,0.00679,0.05,1.068,1.0
106,073,建築及營建工程學門,博士班,2,1,896.0,103.0,894.0,102.0,0.00223,True,0.01449,0.03176,-1.73,0.456,1.0
106,081,農業學門,博士班,3,0,381.0,42.0,378.0,42.0,0.00787,True,0.02174,0.01343,0.83,1.619,1.0
106,082,林業學門,博士班,1,0,49.0,10.0,48.0,10.0,0.02041,True,0.00725,0.00171,0.55,4.24,1.0
106,083,漁業學門,博士班,0,0,74.0,3.0,74.0,3.0,0.0,True,0.0,0.00263,-0.26,0.0,1.0
106,084,獸醫學門,博士班,0,0,107.0,13.0,107.0,13.0,0.0,True,0.0,0.0038,-0.38,0.0,1.0
106,091,醫藥衛生學門,博士班,6,0,3272.0,413.0,3266.0,413.0,0.00183,True,0.04348,0.11602,-7.25,0.375,1.0
106,092,社會福利學門,博士班,1,0,148.0,14.0,147.0,14.0,0.00676,True,0.00725,0.00522,0.2,1.389,1.0
106,101,餐旅及民生服務學門,博士班,2,0,193.0,20.0,191.0,20.0,0.01036,True,0.01449,0.00679,0.77,2.134,1.0
106,102,衛生及職業衛生服務學門,博士班,0,0,,,,,,True,0.0,,,,1.0
106,103,安全服務學門,博士班,0,0,,,,,,True,0.0,,,,1.0
106,104,運輸服務學門,博士班,0,0,69.0,13.0,69.0,13.0,0.0,True,0.0,0.00245,-0.24,0.0,1.0
106,999,其他學門,博士班,0,0,58.0,0.0,58.0,0.0,0.0,False,,,,,1.0
106,011,教育學門,學士班,724,130,20132.0,4490.0,19408.0,4360.0,0.03596,True,0.03716,0.0201,1.71,1.849,1.0
106,021,藝術學門,學士班,1987,301,88731.0,18404.0,86744.0,18103.0,0.02239,True,0.10198,0.08985,1.21,1.135,1.0
106,022,人文學門,學士班,486,108,11217.0,2344.0,10731.0,2236.0,0.04333,True,0.02494,0.01112,1.38,2.243,1.0
106,023,語文學門,學士班,1198,247,75913.0,17180.0,74715.0,16933.0,0.01578,True,0.06148,0.07739,-1.59,0.794,1.0
106,031,社會及行為科學學門,學士班,668,119,28137.0,6343.0,27469.0,6224.0,0.02374,True,0.03428,0.02845,0.58,1.205,1.0
106,032,新聞學及圖書資訊學門,學士班,413,86,17019.0,3791.0,16606.0,3705.0,0.02427,True,0.0212,0.0172,0.4,1.233,1.0
106,041,商業及管理學門,學士班,3047,693,179221.0,44307.0,176174.0,43614.0,0.017,True,0.15638,0.18248,-2.61,0.857,1.0
106,042,法律學門,學士班,265,47,13585.0,3115.0,13320.0,3068.0,0.01951,True,0.0136,0.0138,-0.02,0.986,1.0
106,051,生命科學學門,學士班,184,35,20299.0,5002.0,20115.0,4967.0,0.00906,True,0.00944,0.02083,-1.14,0.453,1.0
106,052,環境學門,學士班,29,7,2344.0,576.0,2315.0,569.0,0.01237,True,0.00149,0.0024,-0.09,0.621,1.0
106,053,物理、化學及地球科學學門,學士班,63,9,14903.0,3297.0,14840.0,3288.0,0.00423,True,0.00323,0.01537,-1.21,0.21,1.0
