學年度,等級別,年級,原住民在學數,全體在學數,原住民佔比
104,二專,一年級,249,3939,0.06321
104,五專,一年級,1010,18830,0.05364
104,博士班,一年級,24,5321,0.00451
104,學士班,一年級,4641,248676,0.01866
104,碩士班,一年級,489,66227,0.00738
105,二專,一年級,215,3648,0.05894
105,五專,一年級,919,18335,0.05012
105,博士班,一年級,26,5388,0.00483
105,學士班,一年級,4509,235412,0.01915
105,碩士班,一年級,513,66225,0.00775
106,二專,一年級,197,2789,0.07063
106,五專,一年級,882,16218,0.05438
106,博士班,一年級,28,5313,0.00527
106,學士班,一年級,4480,223176,0.02007
106,碩士班,一年級,603,65943,0.00914
107,二專,一年級,191,2714,0.07038
107,五專,一年級,835,15707,0.05316
107,博士班,一年級,32,5413,0.00591
107,學士班,一年級,4809,228939,0.02101
107,碩士班,一年級,666,65782,0.01012
108,二專,一年級,200,2430,0.0823
108,五專,一年級,857,15135,0.05662
108,博士班,一年級,23,5590,0.00411
108,學士班,一年級,4695,221172,0.02123
108,碩士班,一年級,767,66081,0.01161
109,二專,一年級,279,5929,0.04706
109,五專,一年級,844,15468,0.05456
109,博士班,一年級,34,5324,0.00639
109,學士班,一年級,4638,208469,0.02225
109,碩士班,一年級,760,65449,0.01161
110,二專,一年級,230,4711,0.04882
110,五專,一年級,855,14549,0.05877
110,博士班,一年級,40,5760,0.00694
110,學士班,一年級,4634,204584,0.02265
110,碩士班,一年級,783,68606,0.01141
111,二專,一年級,163,3873,0.04209
111,五專,一年級,726,14433,0.0503
111,博士班,一年級,38,5372,0.00707
111,學士班,一年級,4267,184299,0.02315
111,碩士班,一年級,826,67591,0.01222
112,二專,一年級,144,3139,0.04587
112,五專,一年級,780,14641,0.05328
112,博士班,一年級,47,5256,0.00894
112,學士班,一年級,4245,179001,0.02371
112,碩士班,一年級,759,66522,0.01141
113,二專,一年級,166,3148,0.05273
113,五專,一年級,797,13933,0.0572
113,博士班,一年級,38,5688,0.00668
113,學士班,一年級,4505,180900,0.0249
113,碩士班,一年級,795,67181,0.01183
114,二專,一年級,126,2885,0.04367
114,五專,一年級,686,12141,0.0565
114,博士班,一年級,60,5893,0.01018
114,學士班,一年級,4591,181744,0.02526
114,碩士班,一年級,835,68752,0.01215
104,二專,二年級,158,3845,0.04109
104,五專,二年級,897,17081,0.05251
104,博士班,二年級,20,4855,0.00412
104,學士班,二年級,4230,239661,0.01765
104,碩士班,二年級,435,59411,0.00732
105,二專,二年級,204,3161,0.06454
105,五專,二年級,924,18438,0.05011
105,博士班,二年級,22,4821,0.00456
105,學士班,二年級,4135,236398,0.01749
105,碩士班,二年級,427,58996,0.00724
106,二專,二年級,174,2889,0.06023
106,五專,二年級,874,17830,0.04902
106,博士班,二年級,31,4924,0.0063
106,學士班,二年級,4052,221854,0.01826
106,碩士班,二年級,515,58379,0.00882
107,二專,二年級,149,2113,0.07052
107,五專,二年級,851,15943,0.05338
107,博士班,二年級,25,4827,0.00518
107,學士班,二年級,4071,211147,0.01928
107,碩士班,二年級,559,57710,0.00969
108,二專,二年級,139,2075,0.06699
108,五專,二年級,813,15525,0.05237
108,博士班,二年級,33,4932,0.00669
108,學士班,二年級,4315,215342,0.02004
108,碩士班,二年級,564,57190,0.00986
109,二專,二年級,304,5476,0.05551
109,五專,二年級,811,14968,0.05418
109,博士班,二年級,26,5148,0.00505
109,學士班,二年級,4266,209558,0.02036
109,碩士班,二年級,664,58242,0.0114
110,二專,二年級,242,4678,0.05173
110,五專,二年級,774,15059,0.0514
110,博士班,二年級,36,4936,0.00729
110,學士班,二年級,4223,197944,0.02133
110,碩士班,二年級,674,58159,0.01159
111,二專,二年級,182,3698,0.04922
111,五專,二年級,802,14312,0.05604
111,博士班,二年級,43,5204,0.00826
111,學士班,二年級,4225,193182,0.02187
111,碩士班,二年級,705,60784,0.0116
112,二專,二年級,123,3080,0.03994
112,五專,二年級,675,14003,0.0482
112,博士班,二年級,35,4948,0.00707
112,學士班,二年級,3774,174606,0.02161
112,碩士班,二年級,693,60515,0.01145
113,二專,二年級,120,2520,0.04762
113,五專,二年級,725,14121,0.05134
113,博士班,二年級,42,4926,0.00853
113,學士班,二年級,3906,168733,0.02315
113,碩士班,二年級,685,60216,0.01138
114,二專,二年級,148,2548,0.05808
114,五專,二年級,752,13556,0.05547
114,博士班,二年級,41,5338,0.00768
114,學士班,二年級,4121,171328,0.02405
114,碩士班,二年級,744,60663,0.01226
104,二專,三年級,1,74,0.01351
104,五專,三年級,920,17850,0.05154
104,博士班,三年級,15,4366,0.00344
104,學士班,三年級,4650,248720,0.0187
104,碩士班,三年級,221,24202,0.00913
105,二專,三年級,1,59,0.01695
105,五專,三年級,808,16427,0.04919
105,博士班,三年級,19,4461,0.00426
105,學士班,三年級,4345,249142,0.01744
105,碩士班,三年級,265,25646,0.01033
106,二專,三年級,1,72,0.01389
106,五專,三年級,851,17773,0.04788
106,博士班,三年級,18,4461,0.00403
106,學士班,三年級,4606,245405,0.01877
106,碩士班,三年級,270,25799,0.01047
107,二專,三年級,3,45,0.06667
107,五專,三年級,819,17144,0.04777
107,博士班,三年級,26,4502,0.00578
107,學士班,三年級,4496,230846,0.01948
107,碩士班,三年級,302,25676,0.01176
108,二專,三年級,0,61,0.0
108,五專,三年級,805,15368,0.05238
108,博士班,三年級,25,4529,0.00552
108,學士班,三年級,4493,220960,0.02033
108,碩士班,三年級,363,25586,0.01419
109,二專,三年級,0,64,0.0
109,五專,三年級,747,14940,0.05
109,博士班,三年級,35,4619,0.00758
109,學士班,三年級,4920,229169,0.02147
109,碩士班,三年級,388,25480,0.01523
110,二專,三年級,1,91,0.01099
110,五專,三年級,763,14517,0.05256
110,博士班,三年級,26,4848,0.00536
110,學士班,三年級,4894,224177,0.02183
110,碩士班,三年級,441,24778,0.0178
111,二專,三年級,3,89,0.03371
111,五專,三年級,734,14533,0.05051
111,博士班,三年級,35,4641,0.00754
111,學士班,三年級,4737,209855,0.02257
111,碩士班,三年級,460,25490,0.01805
112,二專,三年級,3,132,0.02273
112,五專,三年級,746,13645,0.05467
112,博士班,三年級,42,4923,0.00853
112,學士班,三年級,4676,203769,0.02295
112,碩士班,三年級,465,28037,0.01659
113,二專,三年級,2,130,0.01538
113,五專,三年級,638,13353,0.04778
113,博士班,三年級,36,4763,0.00756
113,學士班,三年級,4233,187008,0.02264
113,碩士班,三年級,443,28060,0.01579
114,二專,三年級,5,146,0.03425
114,五專,三年級,699,13599,0.0514
114,博士班,三年級,46,4669,0.00985
114,學士班,三年級,4488,180567,0.02486
114,碩士班,三年級,435,27355,0.0159
104,二專,四年級,0,38,0.0
104,五專,四年級,908,17557,0.05172
104,博士班,四年級,12,4100,0.00293
104,學士班,四年級,4339,243862,0.01779
104,碩士班,四年級,171,13841,0.01235
105,二專,四年級,0,27,0.0
105,五專,四年級,830,16720,0.04964
105,博士班,四年級,17,3933,0.00432
105,學士班,四年級,4386,240229,0.01826
105,碩士班,四年級,194,14504,0.01338
106,二專,四年級,0,33,0.0
106,五專,四年級,688,15174,0.04534
106,博士班,四年級,14,3967,0.00353
106,學士班,四年級,4255,240075,0.01772
106,碩士班,四年級,207,14221,0.01456
107,二專,四年級,1,67,0.01493
107,五專,四年級,791,16389,0.04826
107,博士班,四年級,19,4006,0.00474
107,學士班,四年級,4414,236453,0.01867
107,碩士班,四年級,233,14411,0.01617
108,二專,四年級,0,44,0.0
108,五專,四年級,735,15778,0.04658
108,博士班,四年級,27,4069,0.00664
108,學士班,四年級,4145,221953,0.01868
108,碩士班,四年級,221,14682,0.01505
109,二專,四年級,0,55,0.0
109,五專,四年級,722,14177,0.05093
109,博士班,四年級,28,4050,0.00691
109,學士班,四年級,4278,216134,0.01979
109,碩士班,四年級,290,14828,0.01956
110,二專,四年級,0,50,0.0
110,五專,四年級,660,13874,0.04757
110,博士班,四年級,35,4032,0.00868
110,學士班,四年級,4603,222054,0.02073
110,碩士班,四年級,298,14744,0.02021
111,二專,四年級,0,63,0.0
111,五專,四年級,683,13299,0.05136
111,博士班,四年級,24,4249,0.00565
111,學士班,四年級,4567,216694,0.02108
111,碩士班,四年級,323,15598,0.02071
112,二專,四年級,1,55,0.01818
112,五專,四年級,653,13100,0.04985
112,博士班,四年級,31,4134,0.0075
112,學士班,四年級,4404,201554,0.02185
112,碩士班,四年級,340,15955,0.02131
113,二專,四年級,2,69,0.02899
113,五專,四年級,659,12331,0.05344
113,博士班,四年級,36,4343,0.00829
113,學士班,四年級,4379,196475,0.02229
113,碩士班,四年級,331,16502,0.02006
114,二專,四年級,0,53,0.0
114,五專,四年級,582,12244,0.04753
114,博士班,四年級,34,4303,0.0079
114,學士班,四年級,4034,180288,0.02238
114,碩士班,四年級,344,16160,0.02129
104,五專,五年級,781,16163,0.04832
104,博士班,五年級,11,3742,0.00294
104,學士班,五年級,109,5885,0.01852
104,碩士班,五年級,26,1801,0.01444
105,五專,五年級,819,16525,0.04956
105,博士班,五年級,16,3596,0.00445
105,學士班,五年級,94,5547,0.01695
105,碩士班,五年級,52,2733,0.01903
106,五專,五年級,739,15664,0.04718
106,博士班,五年級,17,3303,0.00515
106,學士班,五年級,88,5202,0.01692
106,碩士班,五年級,54,2951,0.0183
107,五專,五年級,623,14166,0.04398
107,博士班,五年級,15,3343,0.00449
107,學士班,五年級,77,5406,0.01424
107,碩士班,五年級,49,2879,0.01702
108,五專,五年級,678,15219,0.04455
108,博士班,五年級,19,3349,0.00567
108,學士班,五年級,66,4798,0.01376
108,碩士班,五年級,53,2963,0.01789
109,五專,五年級,657,14687,0.04473
109,博士班,五年級,21,3443,0.0061
109,學士班,五年級,67,5015,0.01336
109,碩士班,五年級,53,3169,0.01672
110,五專,五年級,637,13203,0.04825
110,博士班,五年級,29,3284,0.00883
110,學士班,五年級,66,4884,0.01351
110,碩士班,五年級,90,3386,0.02658
111,五專,五年級,584,12841,0.04548
111,博士班,五年級,30,3282,0.00914
111,學士班,五年級,75,5201,0.01442
111,碩士班,五年級,125,3434,0.0364
112,五專,五年級,586,12207,0.04801
112,博士班,五年級,23,3417,0.00673
112,學士班,五年級,102,5504,0.01853
112,碩士班,五年級,109,3581,0.03044
113,五專,五年級,562,12103,0.04643
113,博士班,五年級,25,3295,0.00759
113,學士班,五年級,87,5287,0.01646
113,碩士班,五年級,128,3671,0.03487
114,五專,五年級,568,11315,0.0502
114,博士班,五年級,28,3412,0.00821
114,學士班,五年級,108,5129,0.02106
114,碩士班,五年級,132,3687,0.0358
104,博士班,六年級,10,3212,0.00311
104,學士班,六年級,25,1708,0.01464
104,碩士班,六年級,14,826,0.01695
105,博士班,六年級,16,3119,0.00513
105,學士班,六年級,31,1771,0.0175
105,碩士班,六年級,35,1368,0.02558
106,博士班,六年級,15,2865,0.00524
106,學士班,六年級,33,1771,0.01863
106,碩士班,六年級,32,1402,0.02282
107,博士班,六年級,13,2732,0.00476
107,學士班,六年級,28,1795,0.0156
107,碩士班,六年級,35,1542,0.0227
108,博士班,六年級,10,2684,0.00373
108,學士班,六年級,27,1831,0.01475
108,碩士班,六年級,42,1590,0.02642
109,博士班,六年級,19,2672,0.00711
109,學士班,六年級,28,1818,0.0154
109,碩士班,六年級,31,1683,0.01842
110,博士班,六年級,14,2692,0.0052
110,學士班,六年級,23,1950,0.01179
110,碩士班,六年級,33,1940,0.01701
111,博士班,六年級,28,2640,0.01061
111,學士班,六年級,29,1935,0.01499
111,碩士班,六年級,49,1865,0.02627
112,博士班,六年級,26,2549,0.0102
112,學士班,六年級,26,1931,0.01346
112,碩士班,六年級,74,1957,0.03781
113,博士班,六年級,19,2592,0.00733
113,學士班,六年級,53,2036,0.02603
113,碩士班,六年級,79,2095,0.03771
114,博士班,六年級,19,2509,0.00757
114,學士班,六年級,48,2067,0.02322
114,碩士班,六年級,91,2036,0.0447
104,博士班,七年級,5,3165,0.00158
104,學士班,七年級,20,1384,0.01445
104,碩士班,七年級,0,23,0.0
105,博士班,七年級,11,3503,0.00314
105,學士班,七年級,19,1172,0.01621
105,碩士班,七年級,0,66,0.0
106,博士班,七年級,15,3513,0.00427
106,學士班,七年級,26,1352,0.01923
106,碩士班,七年級,1,88,0.01136
107,博士班,七年級,17,3344,0.00508
107,學士班,七年級,22,1384,0.0159
107,碩士班,七年級,2,92,0.02174
108,博士班,七年級,18,3357,0.00536
108,學士班,七年級,3,266,0.01128
108,碩士班,七年級,2,111,0.01802
109,博士班,七年級,17,3299,0.00515
109,學士班,七年級,2,183,0.01093
109,碩士班,七年級,4,123,0.03252
110,博士班,七年級,22,3355,0.00656
110,學士班,七年級,4,176,0.02273
110,碩士班,七年級,5,166,0.03012
111,博士班,七年級,31,3284,0.00944
111,學士班,七年級,4,179,0.02235
111,碩士班,七年級,7,164,0.04268
112,博士班,七年級,26,3277,0.00793
112,學士班,七年級,0,176,0.0
112,碩士班,七年級,3,136,0.02206
113,博士班,七年級,30,3209,0.00935
113,學士班,七年級,2,176,0.01136
113,碩士班,七年級,5,163,0.03067
114,博士班,七年級,27,3180,0.00849
114,學士班,七年級,4,182,0.02198
114,碩士班,七年級,8,184,0.04348
104,二專,延修生,12,427,0.0281
104,五專,延修生,169,1662,0.10168
104,博士班,延修生,2,572,0.0035
104,學士班,延修生,1347,45322,0.02972
104,碩士班,延修生,53,4097,0.01294
105,二專,延修生,19,364,0.0522
105,五專,延修生,195,1980,0.09848
105,學士班,延修生,1407,45727,0.03077
106,二專,延修生,14,278,0.05036
106,五專,延修生,232,2118,0.10954
106,學士班,延修生,1451,47092,0.03081
107,二專,延修生,19,223,0.0852
107,五專,延修生,253,2147,0.11784
107,學士班,延修生,1414,45935,0.03078
108,二專,延修生,17,174,0.0977
108,五專,延修生,230,2132,0.10788
108,學士班,延修生,1397,46196,0.03024
109,二專,延修生,16,620,0.02581
109,五專,延修生,221,2350,0.09404
109,學士班,延修生,1456,46851,0.03108
110,二專,延修生,46,599,0.07679
110,五專,延修生,190,2338,0.08127
110,學士班,延修生,1389,45706,0.03039
111,二專,延修生,30,509,0.05894
111,五專,延修生,237,2374,0.09983
111,學士班,延修生,1417,45122,0.0314
112,二專,延修生,24,445,0.05393
112,五專,延修生,216,2468,0.08752
112,學士班,延修生,1571,46166,0.03403
113,二專,延修生,27,312,0.08654
113,五專,延修生,180,2426,0.0742
113,學士班,延修生,1655,46606,0.03551
114,二專,延修生,9,253,0.03557
114,五專,延修生,180,2309,0.07796
114,學士班,延修生,1620,48086,0.03369
