學年度,代碼,名稱,等級別,原民在學數,原民畢業數,全體在學數,全體畢業數,一般生在學數,一般生畢業數,原民佔比,可比,原民結構占比,一般生結構占比,結構差距_百分點,相對倍數,分母完整度
106,01111,綜合教育細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01112,成人教育細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01113,特殊教育細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01114,教育行政細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01115,課程與教學細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01116,教育科技細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01118,技職教育細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01121,幼兒師資教育細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01131,普通科目師資教育細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01141,專業科目師資教育細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,01199,其他教育細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02111,視覺藝術細學類,二專,0,1,,,,,,True,0.0,,,,1.0
106,02112,視覺傳達設計細學類,二專,1,0,26.0,12.0,25.0,12.0,0.03846,True,0.0009,0.00488,-0.4,0.184,1.0
106,02121,應用藝術細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02122,綜合設計細學類,二專,11,8,0.0,8.0,-11.0,0.0,inf,True,0.00993,-0.00215,1.21,-4.619,1.0
106,02123,產品設計細學類,二專,9,12,13.0,0.0,4.0,-12.0,0.69231,True,0.00812,0.00078,0.73,10.41,1.0
106,02124,空間設計細學類,二專,1,3,34.0,34.0,33.0,31.0,0.02941,True,0.0009,0.00644,-0.55,0.14,1.0
106,02125,時尚設計與管理細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02131,純藝術細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02132,雕塑細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02141,美術工藝細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02151,音樂細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02152,表演藝術細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02191,綜合藝術細學類,二專,0,0,,,,,,True,0.0,,,,1.0
106,02192,藝術行政細學類,二專,0,0,,,,,,True,0.0,,,,1.0
