縣市代碼,縣市,出生戶籍地,學校所在地,淨流動,就學戶籍比,有國小的鄉鎮數,有國中的鄉鎮數,有高中職的鄉鎮數,有大專的鄉鎮數,承接鄉鎮數,承接原民生,原始專科以上占比,年齡標準化占比,小分母
9007,連江縣,4,0,-4,0.0,4,4,1,0,0,0,45.7,41.14,是
9020,金門縣,14,52,38,371.43,5,5,2,1,1,52,52.71,46.39,是
10002,宜蘭縣,950,420,-530,44.21,12,12,8,3,3,420,33.95,33.09,
10004,新竹縣,1053,287,-766,27.26,13,13,6,2,2,287,32.22,30.89,
10005,苗栗縣,565,393,-172,69.56,18,18,7,3,3,393,31.62,31.17,
10007,彰化縣,355,308,-47,86.76,26,26,10,2,2,308,36.01,32.16,
10008,南投縣,1588,378,-1210,23.8,13,13,8,2,2,377,32.2,31.91,
10009,雲林縣,166,298,132,179.52,20,20,11,2,2,298,37.51,33.03,是
10010,嘉義縣,292,339,47,116.1,18,18,7,2,2,339,33.05,33.55,
10013,屏東縣,2978,2013,-965,67.6,33,29,10,4,4,2013,33.23,35.4,
10014,臺東縣,3909,792,-3117,20.26,16,14,4,1,1,792,29.29,33.02,
10015,花蓮縣,4371,1649,-2722,37.73,13,10,6,3,3,1649,32.35,34.76,
10016,澎湖縣,21,23,2,109.52,6,6,1,1,1,23,48.26,40.68,是
10017,基隆市,391,457,66,116.88,7,7,6,3,3,457,32.12,31.65,
10018,新竹市,215,445,230,206.98,3,3,3,2,2,445,39.74,36.48,
10020,嘉義市,49,180,131,367.35,2,2,2,1,1,180,53.01,48.52,是
63000,臺北市,1105,4554,3449,412.13,12,12,12,9,9,4286,53.91,52.26,
64000,高雄市,1926,3235,1309,167.96,38,38,23,10,10,2968,40.87,39.32,
65000,新北市,2528,3611,1083,142.84,29,29,22,13,13,2454,39.08,36.95,
66000,臺中市,1489,3349,1860,224.92,29,28,23,10,10,3319,38.52,35.74,
67000,臺南市,477,1684,1207,353.04,37,37,21,9,9,1677,47.18,43.59,
68000,桃園市,2901,2880,-21,99.28,13,13,13,4,4,2876,34.4,31.97,
