學年度,族籍別,性別,等級別,在學數
104,總計,男,總計,10771
104,總計,男,博士班,65
104,總計,男,碩士班,652
104,總計,男,學士班,8999
104,總計,男,二專,394
104,總計,男,五專,661
104,總計,女,總計,16672
104,總計,女,博士班,34
104,總計,女,碩士班,760
104,總計,女,學士班,11180
104,總計,女,二專,674
104,總計,女,五專,4024
104,阿美族,男,總計,4069
104,阿美族,男,博士班,18
104,阿美族,男,碩士班,204
104,阿美族,男,學士班,3495
104,阿美族,男,二專,149
104,阿美族,男,五專,203
104,阿美族,女,總計,5792
104,阿美族,女,博士班,5
104,阿美族,女,碩士班,212
104,阿美族,女,學士班,4124
104,阿美族,女,二專,278
104,阿美族,女,五專,1173
104,泰雅族,男,總計,1637
104,泰雅族,男,博士班,14
104,泰雅族,男,碩士班,109
104,泰雅族,男,學士班,1359
104,泰雅族,男,二專,44
104,泰雅族,男,五專,111
104,泰雅族,女,總計,2597
104,泰雅族,女,博士班,6
104,泰雅族,女,碩士班,133
104,泰雅族,女,學士班,1722
104,泰雅族,女,二專,61
104,泰雅族,女,五專,675
104,排灣族,男,總計,1860
104,排灣族,男,博士班,13
104,排灣族,男,碩士班,138
104,排灣族,男,學士班,1505
104,排灣族,男,二專,63
104,排灣族,男,五專,141
104,排灣族,女,總計,3189
104,排灣族,女,博士班,11
104,排灣族,女,碩士班,153
104,排灣族,女,學士班,2032
104,排灣族,女,二專,122
104,排灣族,女,五專,871
104,布農族,男,總計,1162
104,布農族,男,博士班,7
104,布農族,男,碩士班,78
104,布農族,男,學士班,933
104,布農族,男,二專,58
104,布農族,男,五專,86
104,布農族,女,總計,1875
104,布農族,女,博士班,5
104,布農族,女,碩士班,96
104,布農族,女,學士班,1125
104,布農族,女,二專,82
104,布農族,女,五專,567
104,卑南族,男,總計,331
104,卑南族,男,博士班,1
104,卑南族,男,碩士班,16
104,卑南族,男,學士班,278
104,卑南族,男,二專,9
104,卑南族,男,五專,27
104,卑南族,女,總計,455
104,卑南族,女,博士班,1
104,卑南族,女,碩士班,33
104,卑南族,女,學士班,311
104,卑南族,女,二專,20
104,卑南族,女,五專,90
104,鄒族,男,總計,173
104,鄒族,男,博士班,1
104,鄒族,男,碩士班,10
104,鄒族,男,學士班,149
104,鄒族,男,二專,6
104,鄒族,男,五專,7
104,鄒族,女,總計,228
104,鄒族,女,博士班,1
104,鄒族,女,碩士班,15
104,鄒族,女,學士班,180
104,鄒族,女,二專,6
104,鄒族,女,五專,26
104,魯凱族,男,總計,266
104,魯凱族,男,博士班,3
104,魯凱族,男,碩士班,16
104,魯凱族,男,學士班,204
104,魯凱族,男,二專,21
104,魯凱族,男,五專,22
104,魯凱族,女,總計,460
104,魯凱族,女,博士班,1
104,魯凱族,女,碩士班,25
104,魯凱族,女,學士班,296
104,魯凱族,女,二專,33
104,魯凱族,女,五專,105
104,賽夏族,男,總計,152
104,賽夏族,男,博士班,1
104,賽夏族,男,碩士班,10
104,賽夏族,男,學士班,125
104,賽夏族,男,二專,4
104,賽夏族,男,五專,12
104,賽夏族,女,總計,208
104,賽夏族,女,博士班,1
104,賽夏族,女,碩士班,12
104,賽夏族,女,學士班,151
104,賽夏族,女,二專,10
104,賽夏族,女,五專,34
104,雅美族,男,總計,86
104,雅美族,男,博士班,0
104,雅美族,男,碩士班,5
104,雅美族,男,學士班,75
104,雅美族,男,二專,2
104,雅美族,男,五專,4
104,雅美族,女,總計,133
104,雅美族,女,博士班,0
104,雅美族,女,碩士班,4
104,雅美族,女,學士班,110
104,雅美族,女,二專,4
104,雅美族,女,五專,15
104,邵族,男,總計,24
104,邵族,男,博士班,0
104,邵族,男,碩士班,1
104,邵族,男,學士班,21
104,邵族,男,二專,1
104,邵族,男,五專,1
104,邵族,女,總計,30
104,邵族,女,博士班,2
104,邵族,女,碩士班,0
104,邵族,女,學士班,21
104,邵族,女,二專,1
104,邵族,女,五專,6
104,噶瑪蘭族,男,總計,34
104,噶瑪蘭族,男,博士班,0
104,噶瑪蘭族,男,碩士班,1
104,噶瑪蘭族,男,學士班,33
104,噶瑪蘭族,男,二專,0
104,噶瑪蘭族,男,五專,0
104,噶瑪蘭族,女,總計,48
104,噶瑪蘭族,女,博士班,0
104,噶瑪蘭族,女,碩士班,5
104,噶瑪蘭族,女,學士班,33
104,噶瑪蘭族,女,二專,0
104,噶瑪蘭族,女,五專,10
104,太魯閣族,男,總計,652
104,太魯閣族,男,博士班,4
