學年度,等級別,一般生_女,一般生_男,原民_女,原民_男,原民女比,一般生女比,差距_百分點
104,二專,3823,4080,270,150,64.29,48.37,15.92
104,五專,63359,21099,4024,661,85.89,75.02,10.87
104,博士班,9300,19934,34,65,34.34,31.81,2.53
104,學士班,504704,511153,10612,8749,54.81,49.68,5.13
104,碩士班,74785,94234,759,650,53.87,44.25,9.62
105,二專,3233,3587,272,167,61.96,47.4,14.56
105,五專,62724,21206,3842,653,85.47,74.73,10.74
105,博士班,9307,19387,50,77,39.37,32.44,6.93
105,學士班,496721,499751,10471,8455,55.33,49.85,5.48
105,碩士班,75160,92892,795,691,53.5,44.72,8.78
106,二專,2614,3061,231,155,59.84,46.06,13.78
106,五專,60647,19864,3661,605,85.82,75.33,10.49
106,博士班,9335,18873,53,85,38.41,33.09,5.32
106,學士班,481192,485744,10548,8443,55.54,49.76,5.78
106,碩士班,75650,91451,923,759,54.88,45.27,9.61
107,二專,2211,2588,209,154,57.58,46.07,11.51
107,五專,58463,18861,3585,587,85.93,75.61,10.32
107,博士班,9496,18524,60,87,40.82,33.89,6.93
107,學士班,468498,474076,10765,8566,55.69,49.7,5.99
107,碩士班,76127,90119,1055,791,57.15,45.79,11.36
108,二專,2102,2326,214,142,60.11,47.47,12.64
108,五專,56655,18384,3522,596,85.53,75.5,10.03
108,博士班,9727,18628,62,93,40.0,34.3,5.7
108,學士班,453385,459992,10591,8550,55.33,49.64,5.69
108,碩士班,76580,89611,1143,869,56.81,46.08,10.73
109,二專,5689,5856,367,232,61.27,49.28,11.99
109,五專,54940,17648,3417,585,85.38,75.69,9.69
109,博士班,9946,18429,72,108,40.0,35.05,4.95
109,學士班,444748,452794,10777,8878,54.83,49.55,5.28
109,碩士班,77399,89385,1267,923,57.85,46.41,11.44
110,二專,4787,4823,300,219,57.8,49.81,7.99
110,五專,52736,16925,3321,558,85.61,75.7,9.91
110,博士班,10275,18430,86,116,42.57,35.8,6.77
110,學士班,435550,446089,10936,8900,55.13,49.4,5.73
110,碩士班,79290,90165,1385,939,59.6,46.79,12.81
111,二專,3928,3926,223,155,58.99,50.01,8.98
111,五專,51521,16505,3228,538,85.71,75.74,9.97
111,博士班,10385,18058,100,129,43.67,36.51,7.16
111,學士班,413146,424000,10594,8727,54.83,49.35,5.48
111,碩士班,81283,91148,1505,990,60.32,47.14,13.18
112,二專,3270,3286,172,123,58.31,49.88,8.43
112,五專,50251,16157,3137,519,85.8,75.67,10.13
112,博士班,10520,17754,107,123,46.52,37.21,9.31
112,學士班,391433,402476,10161,8637,54.05,49.3,4.75
112,碩士班,82831,91429,1534,909,62.79,47.53,15.26
113,二專,2946,2916,187,130,58.99,50.26,8.73
113,五專,48686,16020,3028,533,85.03,75.24,9.79
113,博士班,10800,17790,98,128,43.36,37.78,5.58
113,學士班,381695,392700,10005,8815,53.16,49.29,3.87
113,碩士班,83085,92337,1510,956,61.23,47.36,13.87
114,二專,2968,2629,180,108,62.5,53.03,9.47
114,五專,45998,15699,2915,552,84.08,74.55,9.53
114,博士班,11123,17926,115,140,45.1,38.29,6.81
114,學士班,374673,383967,10107,8907,53.16,49.39,3.77
114,碩士班,83584,92664,1597,992,61.68,47.42,14.26
