學年度,縣市,等級別,出生戶籍地在學數,學校所在地在學數,學校所在地在學數_不含空大宗教,一般生學校所在地數,淨流動,就學戶籍比,出生戶籍地畢業數,學校所在地畢業數,集中倍數
104,新北市,總計,2191,2856,2386,159467.0,665,130.35,369,456,0.753
104,新北市,博士班,3,2,2,1283.0,-1,66.67,2,0,0.46
104,新北市,碩士班,77,71,71,12123.0,-6,92.21,17,6,0.703
104,新北市,學士班,1793,2314,1971,132266.0,521,129.06,308,391,0.782
104,新北市,二專,44,172,45,1491.0,128,390.91,21,35,0.568
104,新北市,五專,274,297,297,12304.0,23,108.39,21,24,0.435
104,臺北市,總計,904,4722,4501,262862.0,3818,522.35,183,856,0.861
104,臺北市,博士班,2,29,29,10671.0,27,1450.0,0,2,0.803
104,臺北市,碩士班,49,249,246,49213.0,200,508.16,13,54,0.6
104,臺北市,學士班,757,3610,3522,192013.0,2853,476.88,148,662,0.962
104,臺北市,二專,24,158,28,1130.0,134,658.33,10,86,0.466
104,臺北市,五專,72,676,676,9835.0,604,938.89,12,52,1.239
104,桃園市,總計,2011,2218,2195,107674.0,207,110.29,304,365,1.025
104,桃園市,博士班,6,4,4,2440.0,-2,66.67,0,0,0.484
104,桃園市,碩士班,83,47,47,13314.0,-36,56.63,18,11,0.423
104,桃園市,學士班,1581,1635,1622,84762.0,54,103.42,241,280,1.004
104,桃園市,二專,40,16,6,282.0,-24,40.0,14,9,0.4
104,桃園市,五專,301,516,516,6876.0,215,171.43,31,65,1.353
104,臺中市,總計,1242,2447,2344,190249.0,1205,197.02,173,411,0.62
104,臺中市,博士班,3,3,3,2771.0,0,100.0,0,0,0.32
104,臺中市,碩士班,53,108,108,18823.0,55,203.77,9,14,0.688
104,臺中市,學士班,990,2167,2129,163895.0,1177,218.89,141,373,0.682
104,臺中市,二專,27,72,7,614.0,45,266.67,4,16,0.215
104,臺中市,五專,169,97,97,4146.0,-72,57.4,19,8,0.422
104,臺南市,總計,390,1873,1869,130867.0,1483,480.26,66,354,0.718
104,臺南市,博士班,1,6,6,2518.0,5,600.0,0,0,0.704
104,臺南市,碩士班,17,64,64,13860.0,47,376.47,4,9,0.554
104,臺南市,學士班,312,1596,1594,104671.0,1284,511.54,55,307,0.799
104,臺南市,二專,9,17,15,559.0,8,188.89,3,11,0.505
104,臺南市,五專,51,190,190,9259.0,139,372.55,4,27,0.37
104,高雄市,總計,1607,3113,2894,147094.0,1506,193.71,286,426,0.99
104,高雄市,博士班,10,11,11,2414.0,1,110.0,0,1,1.346
104,高雄市,碩士班,90,89,89,16594.0,-1,98.89,24,9,0.643
104,高雄市,學士班,1159,2324,2227,110579.0,1165,200.52,217,322,1.057
104,高雄市,二專,85,196,74,1419.0,111,230.59,23,47,0.981
104,高雄市,五專,263,493,493,16088.0,230,187.45,22,47,0.552
104,宜蘭縣,總計,799,667,651,14074.0,-132,83.48,148,93,2.327
104,宜蘭縣,博士班,2,0,0,66.0,-2,0.0,0,0,0.0
104,宜蘭縣,碩士班,45,25,25,1528.0,-20,55.56,5,7,1.963
104,宜蘭縣,學士班,500,238,235,8527.0,-262,47.6,103,44,1.446
104,宜蘭縣,二專,34,13,0,,-21,38.24,16,3,
104,宜蘭縣,五專,218,391,391,3953.0,173,179.36,24,39,1.783
104,新竹縣,總計,945,368,351,17174.0,-577,38.94,142,76,1.028
104,新竹縣,博士班,4,0,0,,-4,0.0,0,0,
