代碼,名稱,原民_106,原民_114,原民_成長率,原民_占比變化_百分點,一般生_106,一般生_114,一般生_成長率,一般生_占比變化_百分點,成長率差_百分點,相對倍數_106,相對倍數_114,相對倍數變化
091,醫藥衛生學門,4341,4131,-0.0484,-0.6,115281.0,102010.0,-0.1151,0.67,6.7,1.758,1.579,-0.179
101,餐旅及民生服務學門,5579,3919,-0.2975,-6.04,142563.0,82087.0,-0.4242,-3.46,12.7,1.827,1.861,0.034
041,商業及管理學門,3767,3194,-0.1521,-2.0,216852.0,163626.0,-0.2454,-1.49,9.3,0.811,0.761,-0.05
092,社會福利學門,1841,2483,0.3487,2.52,29448.0,28115.0,-0.0453,0.37,39.4,2.918,3.443,0.525
021,藝術學門,2246,2342,0.0427,0.46,103163.0,75670.0,-0.2665,-0.92,30.9,1.016,1.206,0.19
071,工程及工程業學門,1696,1951,0.1504,1.04,208211.0,199993.0,-0.0395,2.74,19.0,0.38,0.38,0.0
011,教育學門,1113,1704,0.531,2.29,34856.0,33994.0,-0.0247,0.51,55.6,1.49,1.954,0.464
023,語文學門,1494,1386,-0.0723,-0.34,89166.0,59965.0,-0.3275,-1.32,25.5,0.782,0.901,0.119
031,社會及行為科學學門,847,1135,0.34,1.13,39133.0,37330.0,-0.0461,0.49,38.6,1.01,1.185,0.175
061,資訊通訊科技學門,841,889,0.0571,0.22,79669.0,83764.0,0.0514,1.75,0.6,0.493,0.414,-0.079
042,法律學門,322,595,0.8478,1.05,20038.0,18705.0,-0.0665,0.21,91.4,0.75,1.24,0.49
022,人文學門,604,582,-0.0364,-0.06,14677.0,12448.0,-0.1519,0.03,11.6,1.921,1.822,-0.099
073,建築及營建工程學門,539,507,-0.0594,-0.1,31371.0,27628.0,-0.1193,0.17,6.0,0.802,0.715,-0.087
032,新聞學及圖書資訊學門,442,424,-0.0407,-0.05,18912.0,12830.0,-0.3216,-0.27,28.1,1.091,1.288,0.197
051,生命科學學門,216,260,0.2037,0.18,26479.0,21318.0,-0.1949,-0.05,39.9,0.381,0.476,0.095
081,農業學門,171,256,0.4971,0.33,9463.0,9660.0,0.0208,0.18,47.6,0.843,1.033,0.19
104,運輸服務學門,157,158,0.0064,0.01,9756.0,7609.0,-0.2201,-0.04,22.6,0.751,0.809,0.058
053,物理、化學及地球科學學門,76,135,0.7763,0.23,21074.0,21184.0,0.0052,0.37,77.1,0.169,0.249,0.08
072,製造及加工學門,140,99,-0.2929,-0.15,9718.0,7205.0,-0.2586,-0.08,-3.4,0.673,0.535,-0.138
054,數學及統計學門,49,64,0.3061,0.06,13532.0,11939.0,-0.1177,0.08,42.4,0.169,0.209,0.04
082,林業學門,70,49,-0.3,-0.08,2322.0,2019.0,-0.1305,0.01,-17.0,1.409,0.949,-0.46
102,衛生及職業衛生服務學門,16,34,1.125,0.07,1225.0,1744.0,0.4237,0.07,70.1,0.612,0.759,0.147
052,環境學門,34,28,-0.1765,-0.02,3181.0,2543.0,-0.2006,-0.01,2.4,0.498,0.429,-0.069
084,獸醫學門,22,26,0.1818,0.02,1972.0,2102.0,0.0659,0.05,11.6,0.519,0.485,-0.034
083,漁業學門,22,18,-0.1818,-0.01,2283.0,2229.0,-0.0237,0.03,-15.8,0.448,0.313,-0.135
103,安全服務學門,45,8,-0.8222,-0.14,1590.0,457.0,-0.7126,-0.08,-11.0,1.32,0.682,-0.638
