代碼,名稱,原民_106,原民_114,原民_成長率,原民_占比變化_百分點,一般生_106,一般生_114,一般生_成長率,一般生_占比變化_百分點,成長率差_百分點,相對倍數_106,相對倍數_114,相對倍數變化
09131,護理及助產細學類,3461,2767,-0.2005,-2.48,58296.0,46601.0,-0.2006,-0.15,0.0,2.768,2.312,-0.456
04131,企業管理細學類,1364,1165,-0.1459,-0.69,74994.0,58316.0,-0.2224,-0.35,7.6,0.848,0.778,-0.07
09231,社會工作細學類,880,1113,0.2648,0.92,10925.0,9020.0,-0.1744,0.0,43.9,3.755,4.806,1.051
10141,競技運動細學類,712,1003,0.4087,1.14,5061.0,4697.0,-0.0719,0.05,48.1,6.555,8.322,1.767
10152,遊憩、運動和休閒管理細學類,1406,956,-0.3201,-1.64,25311.0,13365.0,-0.472,-0.73,15.2,2.59,2.786,0.196
02311,外國語文細學類,1085,864,-0.2037,-0.79,67779.0,43066.0,-0.3646,-1.25,16.1,0.747,0.781,0.034
07141,電機與電子工程細學類,637,783,0.2292,0.58,90757.0,86067.0,-0.0517,1.09,28.1,0.327,0.354,0.027
10131,旅館及餐飲細學類,1215,715,-0.4115,-1.84,49997.0,29173.0,-0.4165,-1.18,0.5,1.133,0.955,-0.178
06131,資訊技術細學類,656,679,0.0351,0.12,64842.0,65389.0,0.0084,1.16,2.7,0.472,0.404,-0.068
09221,兒童及青少年照顧服務細學類,745,672,-0.098,-0.24,11927.0,10529.0,-0.1172,0.07,1.9,2.913,2.486,-0.427
09211,老年照顧服務細學類,182,649,2.5659,1.78,5550.0,8101.0,0.4596,0.34,210.6,1.529,3.118,1.589
01141,專業科目師資教育細學類,410,618,0.5073,0.81,7575.0,6918.0,-0.0867,0.07,59.4,2.522,3.476,0.954
10151,旅遊觀光細學類,1397,578,-0.5863,-3.04,39857.0,19528.0,-0.51,-1.3,-7.6,1.635,1.153,-0.482
07151,機械工程細學類,504,498,-0.0119,0.0,49838.0,43868.0,-0.1198,0.27,10.8,0.472,0.442,-0.03
01111,綜合教育細學類,245,470,0.9184,0.86,7718.0,8444.0,0.0941,0.2,82.4,1.481,2.168,0.687
10121,美髮美容服務細學類,594,452,-0.2391,-0.51,17016.0,10688.0,-0.3719,-0.33,13.3,1.628,1.646,0.018
04211,一般法律細學類,252,451,0.7897,0.77,14435.0,12474.0,-0.1359,0.06,92.6,0.814,1.407,0.593
04121,財務金融細學類,307,442,0.4397,0.53,33787.0,27066.0,-0.1989,-0.08,63.9,0.424,0.636,0.212
02152,表演藝術細學類,234,402,0.7179,0.65,5474.0,5805.0,0.0605,0.12,65.7,1.993,2.697,0.704
