學年,學制,年級數,縣市代碼,縣市,鄉鎮市區代碼,鄉鎮市區,學校數,全體學生數,原住民學生數,原住民男學生數,原住民女學生數
114,國小,6,10002,宜蘭縣,10002010,宜蘭市,9,5940,240,117,123
114,國小,6,10002,宜蘭縣,10002020,羅東鎮,5,5066,347,171,176
114,國小,6,10002,宜蘭縣,10002030,蘇澳鎮,8,1508,172,77,95
114,國小,6,10002,宜蘭縣,10002040,頭城鎮,7,1218,59,32,27
114,國小,6,10002,宜蘭縣,10002050,礁溪鄉,5,1157,46,17,29
114,國小,6,10002,宜蘭縣,10002060,壯圍鄉,6,1191,33,20,13
114,國小,6,10002,宜蘭縣,10002070,員山鄉,7,850,61,30,31
114,國小,6,10002,宜蘭縣,10002080,冬山鄉,8,2187,101,46,55
114,國小,6,10002,宜蘭縣,10002090,五結鄉,5,1201,80,35,45
114,國小,6,10002,宜蘭縣,10002100,三星鄉,5,657,137,84,53
114,國小,6,10002,宜蘭縣,10002110,大同鄉,4,269,259,125,134
114,國小,6,10002,宜蘭縣,10002120,南澳鄉,7,361,350,174,176
114,國小,6,10004,新竹縣,10004010,竹北市,19,18526,192,105,87
114,國小,6,10004,新竹縣,10004020,竹東鎮,10,5785,745,379,366
114,國小,6,10004,新竹縣,10004030,新埔鎮,9,1449,39,21,18
114,國小,6,10004,新竹縣,10004040,關西鎮,9,923,81,53,28
114,國小,6,10004,新竹縣,10004050,湖口鄉,7,5026,211,104,107
114,國小,6,10004,新竹縣,10004060,新豐鄉,7,4135,162,86,76
114,國小,6,10004,新竹縣,10004070,芎林鄉,3,659,33,16,17
114,國小,6,10004,新竹縣,10004080,橫山鄉,5,404,67,37,30
114,國小,6,10004,新竹縣,10004090,北埔鄉,2,313,4,3,1
114,國小,6,10004,新竹縣,10004100,寶山鄉,3,403,17,9,8
114,國小,6,10004,新竹縣,10004110,峨眉鄉,2,106,1,0,1
114,國小,6,10004,新竹縣,10004120,尖石鄉,9,498,489,253,236
114,國小,6,10004,新竹縣,10004130,五峰鄉,3,146,141,81,60
114,國小,6,10005,苗栗縣,10005010,苗栗市,8,4491,154,79,75
114,國小,6,10005,苗栗縣,10005020,苑裡鎮,9,1965,37,17,20
114,國小,6,10005,苗栗縣,10005030,通霄鎮,10,1138,31,13,18
114,國小,6,10005,苗栗縣,10005040,竹南鎮,8,6071,179,89,90
114,國小,6,10005,苗栗縣,10005050,頭份市,12,6974,220,112,108
114,國小,6,10005,苗栗縣,10005060,後龍鎮,10,1451,45,29,16
114,國小,6,10005,苗栗縣,10005070,卓蘭鎮,6,536,22,9,13
114,國小,6,10005,苗栗縣,10005080,大湖鄉,7,422,60,33,27
114,國小,6,10005,苗栗縣,10005090,公館鄉,7,1502,33,16,17
114,國小,6,10005,苗栗縣,10005100,銅鑼鄉,6,641,31,16,15
114,國小,6,10005,苗栗縣,10005110,南庄鄉,5,258,109,56,53
114,國小,6,10005,苗栗縣,10005120,頭屋鄉,2,243,7,4,3
114,國小,6,10005,苗栗縣,10005130,三義鄉,4,616,21,9,12
114,國小,6,10005,苗栗縣,10005140,西湖鄉,2,111,3,0,3
114,國小,6,10005,苗栗縣,10005150,造橋鄉,5,434,23,12,11
114,國小,6,10005,苗栗縣,10005160,三灣鄉,1,242,11,6,5
114,國小,6,10005,苗栗縣,10005170,獅潭鄉,3,80,12,5,7
114,國小,6,10005,苗栗縣,10005180,泰安鄉,7,193,186,100,86
114,國小,6,10007,彰化縣,10007010,彰化市,16,12312,225,117,108
114,國小,6,10007,彰化縣,10007020,鹿港鎮,10,5077,62,36,26
114,國小,6,10007,彰化縣,10007030,和美鎮,7,4305,64,32,32
114,國小,6,10007,彰化縣,10007040,線西鄉,2,677,9,4,5
114,國小,6,10007,彰化縣,10007050,伸港鄉,4,1937,37,14,23
114,國小,6,10007,彰化縣,10007060,福興鄉,7,1453,24,17,7
114,國小,6,10007,彰化縣,10007070,秀水鄉,6,1845,23,15,8
114,國小,6,10007,彰化縣,10007080,花壇鄉,6,1884,51,19,32
114,國小,6,10007,彰化縣,10007090,芬園鄉,6,759,12,5,7
114,國小,6,10007,彰化縣,10007100,員林市,9,7489,69,39,30
114,國小,6,10007,彰化縣,10007110,溪湖鎮,7,3176,29,14,15
114,國小,6,10007,彰化縣,10007120,田中鎮,7,1501,25,11,14
114,國小,6,10007,彰化縣,10007130,大村鄉,4,1557,22,14,8
114,國小,6,10007,彰化縣,10007140,埔鹽鄉,7,1024,17,7,10
114,國小,6,10007,彰化縣,10007150,埔心鄉,7,1124,11,5,6
114,國小,6,10007,彰化縣,10007160,永靖鄉,5,1509,12,5,7
114,國小,6,10007,彰化縣,10007170,社頭鄉,7,1784,17,9,8
114,國小,6,10007,彰化縣,10007180,二水鄉,3,355,3,2,1
114,國小,6,10007,彰化縣,10007190,北斗鎮,5,1961,17,11,6
114,國小,6,10007,彰化縣,10007200,二林鎮,11,2262,29,16,13
114,國小,6,10007,彰化縣,10007210,田尾鄉,4,882,7,3,4
114,國小,6,10007,彰化縣,10007220,埤頭鄉,6,1208,17,8,9
114,國小,6,10007,彰化縣,10007230,芳苑鄉,10,827,26,11,15
