學年,縣市代碼,縣市,鄉鎮市區代碼,鄉鎮市區,學校數,全體學生數,原住民學生數,原住民男學生數,原住民女學生數,原民生占比,分母過小
114,09020,金門縣,9020040,金寧鄉,1,3660,52,20,32,0.0142,
114,10002,宜蘭縣,10002010,宜蘭市,1,5318,151,106,45,0.0284,
114,10002,宜蘭縣,10002050,礁溪鄉,1,2465,89,35,54,0.0361,
114,10002,宜蘭縣,10002100,三星鄉,1,1360,180,28,152,0.1324,
114,10004,新竹縣,10004060,新豐鄉,1,9707,263,139,124,0.0271,
114,10004,新竹縣,10004070,芎林鄉,1,1633,24,13,11,0.0147,
114,10005,苗栗縣,10005010,苗栗市,1,7418,106,61,45,0.0143,
114,10005,苗栗縣,10005060,後龍鎮,1,5027,187,37,150,0.0372,
114,10005,苗栗縣,10005150,造橋鄉,1,3505,100,27,73,0.0285,
114,10007,彰化縣,10007010,彰化市,2,12188,270,122,148,0.0222,
114,10007,彰化縣,10007130,大村鄉,1,3173,38,21,17,0.0120,
114,10008,南投縣,10008020,埔里鎮,1,6512,320,123,197,0.0491,
114,10008,南投縣,10008030,草屯鎮,1,2435,57,30,27,0.0234,
114,10009,雲林縣,10009010,斗六市,1,10450,132,73,59,0.0126,
114,10009,雲林縣,10009030,虎尾鎮,1,12003,166,135,31,0.0138,
114,10010,嘉義縣,10010040,大林鎮,2,7312,140,62,78,0.0191,
114,10010,嘉義縣,10010050,民雄鄉,2,15198,199,106,93,0.0131,
114,10013,屏東縣,10013010,屏東市,1,8697,505,199,306,0.0581,
114,10013,屏東縣,10013100,鹽埔鄉,1,3780,459,156,303,0.1214,
114,10013,屏東縣,10013130,內埔鄉,2,13855,828,264,564,0.0598,
114,10013,屏東縣,10013200,南州鄉,1,1417,221,37,184,0.1560,
114,10014,臺東縣,10014010,臺東市,2,5391,792,327,465,0.1469,
114,10015,花蓮縣,10015010,花蓮市,1,4994,804,136,668,0.1610,
114,10015,花蓮縣,10015040,新城鄉,0,0,0,0,0,,是
114,10015,花蓮縣,10015060,壽豐鄉,1,10035,845,332,513,0.0842,
114,10016,澎湖縣,10016010,馬公市,1,2202,23,15,8,0.0104,
114,10017,基隆市,10017010,中正區,1,9069,145,102,43,0.0160,
114,10017,基隆市,10017050,中山區,1,3119,85,13,72,0.0273,
114,10017,基隆市,10017070,信義區,1,1054,227,78,149,0.2154,
114,10018,新竹市,10018010,東區,2,40914,333,190,143,0.0081,
114,10018,新竹市,10018030,香山區,3,8125,112,50,62,0.0138,
114,10020,嘉義市,10020010,東區,1,11103,180,99,81,0.0162,
114,63000,臺北市,63000020,信義區,1,6289,66,30,36,0.0105,
114,63000,臺北市,63000030,大安區,5,83237,1102,532,570,0.0132,
114,63000,臺北市,63000040,中山區,2,13173,201,77,124,0.0153,
114,63000,臺北市,63000050,中正區,2,14686,516,265,251,0.0351,
114,63000,臺北市,63000080,文山區,3,32799,669,242,427,0.0204,
114,63000,臺北市,63000090,南港區,1,2606,92,52,40,0.0353,
114,63000,臺北市,63000100,內湖區,3,8052,166,51,115,0.0206,
114,63000,臺北市,63000110,士林區,3,48787,715,308,407,0.0147,
