縣市代碼,縣市,鄉鎮數,學校數,全體學生數,原住民學生數,原民生占比
09020,金門縣,1,1,3660,52,0.0142
10002,宜蘭縣,3,3,9143,420,0.0459
10004,新竹縣,2,2,11340,287,0.0253
10005,苗栗縣,3,3,15950,393,0.0246
10007,彰化縣,2,3,15361,308,0.0201
10008,南投縣,2,2,8947,377,0.0421
10009,雲林縣,2,2,22453,298,0.0133
10010,嘉義縣,2,4,22510,339,0.0151
10013,屏東縣,4,5,27749,2013,0.0725
10014,臺東縣,1,2,5391,792,0.1469
10015,花蓮縣,3,2,15029,1649,0.1097
10016,澎湖縣,1,1,2202,23,0.0104
10017,基隆市,3,3,13242,457,0.0345
10018,新竹市,2,5,49039,445,0.0091
10020,嘉義市,1,1,11103,180,0.0162
63000,臺北市,9,24,230483,4286,0.0186
64000,高雄市,10,14,118531,2968,0.0250
65000,新北市,13,20,117768,2454,0.0208
66000,臺中市,10,17,174618,3319,0.0190
67000,臺南市,9,13,88863,1677,0.0189
68000,桃園市,4,12,93462,2876,0.0308
