學年,分流,人數,占比
104,普通科,6676,27.59
104,綜合高中,3184,13.16
104,專業群(職業)科,10115,41.81
104,實用技能學程,1222,5.05
104,進修部,2998,12.39
105,普通科,6911,28.98
105,綜合高中,2772,11.62
105,專業群(職業)科,10200,42.77
105,實用技能學程,1234,5.17
105,進修部,2729,11.44
106,普通科,7074,30.13
106,綜合高中,2623,11.17
106,專業群(職業)科,10067,42.88
106,實用技能學程,1167,4.97
106,進修部,2546,10.84
107,普通科,7017,30.75
107,綜合高中,2321,10.17
107,專業群(職業)科,9930,43.52
107,實用技能學程,1184,5.19
107,進修部,2364,10.36
108,普通科,6975,32.26
108,綜合高中,2051,9.49
108,專業群(職業)科,9393,43.45
108,實用技能學程,1154,5.34
108,進修部,2046,9.46
109,普通科,6901,32.96
109,綜合高中,1808,8.64
109,專業群(職業)科,9134,43.63
109,實用技能學程,1175,5.61
109,進修部,1919,9.17
110,普通科,7002,34.1
110,綜合高中,1649,8.03
110,專業群(職業)科,9042,44.04
110,實用技能學程,1126,5.48
110,進修部,1712,8.34
111,普通科,7212,35.52
111,綜合高中,1574,7.75
111,專業群(職業)科,9022,44.44
111,實用技能學程,1013,4.99
111,進修部,1482,7.3
112,普通科,7194,36.51
112,綜合高中,1596,8.1
112,專業群(職業)科,8662,43.96
112,實用技能學程,943,4.79
112,進修部,1311,6.65
113,普通科,7552,37.59
113,綜合高中,1725,8.59
113,專業群(職業)科,8512,42.37
113,實用技能學程,990,4.93
113,進修部,1313,6.53
114,普通科,7745,37.97
114,綜合高中,1817,8.91
114,專業群(職業)科,8556,41.95
114,實用技能學程,1015,4.98
114,進修部,1265,6.2
