學年,分流,原民人數,原民占比,全體人數,全體占比,差距
104,普通科,6676,27.59,,,
104,綜合高中,3184,13.16,,,
104,專業群(職業)科,10115,41.81,,,
104,實用技能學程,1222,5.05,,,
104,進修部,2998,12.39,,,
105,普通科,6911,28.98,307733,40.54,-11.56
105,綜合高中,2772,11.62,50737,6.68,4.94
105,專業群(職業)科,10200,42.77,318465,41.96,0.82
105,實用技能學程,1234,5.17,34794,4.58,0.59
105,進修部,2729,11.44,47321,6.23,5.21
106,普通科,7074,30.13,310239,41.62,-11.49
106,綜合高中,2623,11.17,44929,6.03,5.15
106,專業群(職業)科,10067,42.88,315649,42.34,0.54
106,實用技能學程,1167,4.97,33041,4.43,0.54
106,進修部,2546,10.84,41606,5.58,5.26
107,普通科,7017,30.75,300692,43.15,-12.4
107,綜合高中,2321,10.17,38118,5.47,4.7
107,專業群(職業)科,9930,43.52,290769,41.73,1.79
107,實用技能學程,1184,5.19,31079,4.46,0.73
107,進修部,2364,10.36,36124,5.18,5.18
108,普通科,6975,32.26,289979,45.11,-12.85
108,綜合高中,2051,9.49,31521,4.9,4.58
108,專業群(職業)科,9393,43.45,262054,40.77,2.68
108,實用技能學程,1154,5.34,28451,4.43,0.91
108,進修部,2046,9.46,30786,4.79,4.67
109,普通科,6901,32.96,283344,46.87,-13.91
109,綜合高中,1808,8.64,27441,4.54,4.1
109,專業群(職業)科,9134,43.63,240329,39.75,3.87
109,實用技能學程,1175,5.61,26627,4.4,1.21
109,進修部,1919,9.17,26822,4.44,4.73
110,普通科,7002,34.1,280473,47.89,-13.79
110,綜合高中,1649,8.03,24679,4.21,3.82
110,專業群(職業)科,9042,44.04,231352,39.5,4.54
110,實用技能學程,1126,5.48,25004,4.27,1.21
110,進修部,1712,8.34,24121,4.12,4.22
111,普通科,7212,35.52,279177,49.47,-13.94
111,綜合高中,1574,7.75,22881,4.05,3.7
111,專業群(職業)科,9022,44.44,218299,38.68,5.76
111,實用技能學程,1013,4.99,23162,4.1,0.89
111,進修部,1482,7.3,20855,3.7,3.6
112,普通科,7194,36.51,278742,50.09,-13.58
112,綜合高中,1596,8.1,22030,3.96,4.14
112,專業群(職業)科,8662,43.96,214922,38.62,5.34
112,實用技能學程,943,4.79,22157,3.98,0.8
112,進修部,1311,6.65,18639,3.35,3.3
113,普通科,7552,37.59,278503,50.65,-13.06
113,綜合高中,1725,8.59,21609,3.93,4.66
113,專業群(職業)科,8512,42.37,210498,38.28,4.08
113,實用技能學程,990,4.93,21767,3.96,0.97
113,進修部,1313,6.53,17466,3.18,3.36
114,普通科,7745,37.97,274973,51.66,-13.69
114,綜合高中,1817,8.91,20911,3.93,4.98
114,專業群(職業)科,8556,41.95,199246,37.43,4.51
114,實用技能學程,1015,4.98,20741,3.9,1.08
114,進修部,1265,6.2,16385,3.08,3.12
