學年度,代碼,名稱,原民在學數,一般生在學數,原民指數,一般生指數,相對倍數,分母異常
106,01111,綜合教育細學類,245,7718.0,100.0,100.0,1.481,False
107,01111,綜合教育細學類,270,7786.0,110.2,100.9,1.557,False
108,01111,綜合教育細學類,283,7808.0,115.5,101.2,1.585,False
109,01111,綜合教育細學類,321,7915.0,131.0,102.6,1.666,False
110,01111,綜合教育細學類,348,8270.0,142.0,107.2,1.768,False
111,01111,綜合教育細學類,387,8204.0,158.0,106.3,1.95,False
112,01111,綜合教育細學類,401,8341.0,163.7,108.1,1.973,False
113,01111,綜合教育細學類,418,8397.0,170.6,108.8,1.998,False
114,01111,綜合教育細學類,470,8444.0,191.8,109.4,2.168,False
106,01112,成人教育細學類,8,638.0,100.0,100.0,0.588,False
107,01112,成人教育細學類,8,603.0,100.0,94.5,0.6,False
108,01112,成人教育細學類,9,583.0,112.5,91.4,0.673,False
109,01112,成人教育細學類,6,581.0,75.0,91.1,0.423,False
110,01112,成人教育細學類,5,571.0,62.5,89.5,0.367,False
111,01112,成人教育細學類,10,571.0,125.0,89.5,0.725,False
112,01112,成人教育細學類,8,577.0,100.0,90.4,0.574,False
113,01112,成人教育細學類,4,613.0,50.0,96.1,0.254,False
114,01112,成人教育細學類,6,594.0,75.0,93.1,0.397,False
106,01113,特殊教育細學類,92,3759.0,100.0,100.0,1.142,False
107,01113,特殊教育細學類,97,3810.0,105.4,101.4,1.147,False
108,01113,特殊教育細學類,85,3715.0,92.4,98.8,1.003,False
109,01113,特殊教育細學類,82,3693.0,89.1,98.2,0.912,False
110,01113,特殊教育細學類,79,3700.0,85.9,98.4,0.897,False
111,01113,特殊教育細學類,90,3798.0,97.8,101.0,0.98,False
112,01113,特殊教育細學類,95,3839.0,103.3,102.1,1.017,False
113,01113,特殊教育細學類,94,3762.0,102.2,100.1,1.003,False
114,01113,特殊教育細學類,88,3715.0,95.7,98.8,0.923,False
106,01114,教育行政細學類,59,1960.0,100.0,100.0,1.408,False
107,01114,教育行政細學類,60,1965.0,101.7,100.3,1.37,False
108,01114,教育行政細學類,66,1965.0,111.9,100.3,1.476,False
109,01114,教育行政細學類,74,1956.0,125.4,99.8,1.554,False
110,01114,教育行政細學類,70,1771.0,118.6,90.4,1.667,False
111,01114,教育行政細學類,84,1805.0,142.4,92.1,1.92,False
112,01114,教育行政細學類,76,1828.0,128.8,93.3,1.703,False
113,01114,教育行政細學類,58,1799.0,98.3,91.8,1.297,False
114,01114,教育行政細學類,59,1764.0,100.0,90.0,1.302,False
106,01115,課程與教學細學類,18,775.0,100.0,100.0,1.081,False
107,01115,課程與教學細學類,16,820.0,88.9,105.8,0.881,False
108,01115,課程與教學細學類,24,797.0,133.3,102.8,1.328,False
109,01115,課程與教學細學類,28,767.0,155.6,99.0,1.515,False
110,01115,課程與教學細學類,25,757.0,138.9,97.7,1.379,False
111,01115,課程與教學細學類,23,708.0,127.8,91.4,1.344,False
112,01115,課程與教學細學類,21,748.0,116.7,96.5,1.157,False
113,01115,課程與教學細學類,16,726.0,88.9,93.7,0.884,False
114,01115,課程與教學細學類,14,793.0,77.8,102.3,0.688,False
106,01116,教育科技細學類,14,1329.0,100.0,100.0,0.486,False
107,01116,教育科技細學類,25,1375.0,178.6,103.5,0.814,False
108,01116,教育科技細學類,24,1398.0,171.4,105.2,0.754,False
109,01116,教育科技細學類,30,1392.0,214.3,104.7,0.887,False
110,01116,教育科技細學類,22,1301.0,157.1,97.9,0.708,False
111,01116,教育科技細學類,22,1285.0,157.1,96.7,0.707,False
112,01116,教育科技細學類,24,1285.0,171.4,96.7,0.76,False
113,01116,教育科技細學類,20,1272.0,142.9,95.7,0.631,False
114,01116,教育科技細學類,18,1405.0,128.6,105.7,0.496,False
106,01118,技職教育細學類,5,379.0,100.0,100.0,0.633,False
107,01118,技職教育細學類,8,834.0,160.0,220.1,0.435,False
108,01118,技職教育細學類,9,834.0,180.0,220.1,0.465,False
109,01118,技職教育細學類,11,840.0,220.0,221.6,0.533,False
110,01118,技職教育細學類,11,781.0,220.0,206.1,0.588,False
111,01118,技職教育細學類,5,526.0,100.0,138.8,0.404,False
112,01118,技職教育細學類,4,508.0,80.0,134.0,0.312,False
113,01118,技職教育細學類,3,472.0,60.0,124.5,0.267,False
114,01118,技職教育細學類,8,481.0,160.0,126.9,0.638,False
106,01121,幼兒師資教育細學類,178,5010.0,100.0,100.0,1.655,False
107,01121,幼兒師資教育細學類,172,4865.0,96.6,97.1,1.59,False
108,01121,幼兒師資教育細學類,204,4858.0,114.6,97.0,1.839,False
109,01121,幼兒師資教育細學類,232,4979.0,130.3,99.4,1.915,False
